Official Title,Posting Number,Department,Active Applications,Workflow State,Last Status Update,All Submitted Applications,Incomplete Applications,Pay Rate,FTE,Accept References?,Created Date,Closing Date,Anticipated Start Date
Student Relations Coordinator,0601476,Student Records & Registration,0,Filled,"May 21, 2015 at 12:58 PM",49,11,General information available to applicants.,1.0,,"March 24, 2015 at 04:25 PM",08.04.2015,June 2015
Office Assistant (Academic Administration),0601478,Academic Office,0,Filled,"April 24, 2015 at 03:55 PM",23,12,,1,,"March 26, 2015 at 08:53 AM",11.04.2015,
Visual Communication / Public Relations Full-time Faculty - anticipated for Winter 2016,0601479,Communication,0,Filled,"May 27, 2016 at 09:38 AM",11,3,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"March 27, 2015 at 08:33 AM",16.05.2015,"January 2, 2016"
Visiting Faculty - Languages and International Studies (French) - Anticipated for Winter 2016,0601480,Languages & International Studies,0,Filled,"May 26, 2016 at 04:50 PM",2,2,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"March 30, 2015 at 03:11 PM",30.05.2015,1/2/2016
Political Science Visiting Faculty - Anticipated for January 2016,0601484,History/Geography/Poli Science,0,Filled,"May 27, 2016 at 08:41 AM",10,2,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"April 06, 2015 at 10:47 AM",15.07.2015,1/2/2016
Pathway Advisor,0601486,Pathway,0,Filled,"June 12, 2015 at 12:53 PM",74,21,General information available to applicants.,1,No,"April 08, 2015 at 04:26 PM",04.05.2015,June or July 2015
Activities Advisor (Talent),0601485,Student Activities,0,Filled,"June 01, 2015 at 11:06 AM",34,7,Available to applicants upon request.,1.0,No,"April 15, 2015 at 03:04 PM",02.05.2015,May-June
Technology Support Coordinator (2 Positions),0601489,Information Technology,0,Filled,"June 22, 2015 at 04:41 PM",14,3,General information available to applicants.,1,No,"April 22, 2015 at 04:32 PM",11.05.2015,June or July 2015
Office Assistant (Part-time),0601490,Online Instruction,0,Filled,"June 17, 2015 at 09:20 AM",21,10,Available to applicants upon request.,.5,No,"May 01, 2015 at 11:31 AM",16.05.2015,June 2015
 Geology Temporary Faculty - Anticipated for Winter 2016,0601491,Geology,0,Filled,"May 26, 2016 at 04:51 PM",3,0,Will be discussed during the formal interview process and is based on your education and experience.,,Yes,"May 04, 2015 at 12:28 PM",11.07.2015,1/2/2016
Application System Engineer,0601494,Information Technology,0,Filled,"June 24, 2015 at 02:32 PM",12,0,,1.0,Yes,"May 06, 2015 at 01:40 PM",20.05.2015,June 2015
External Contacts Coordinator,0601495,Online Degrees & Services,0,Filled,"June 16, 2015 at 10:37 AM",23,7,General information available to applicants.,1.0,,"May 06, 2015 at 04:12 PM",21.05.2015,June or July 2015
Dance Visiting Faculty - Anticipated for Winter 2016,0601493,Theatre & Dance,0,Filled,"May 26, 2016 at 04:46 PM",1,0,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"May 06, 2015 at 04:36 PM",11.07.2015,9/1/2015
Building Custodian (M - F 8:00pm - 4:00am),0601496,Custodial Services,0,Filled,"June 17, 2015 at 09:20 AM",34,16,General information available to applicants.,1.0,Yes,"May 07, 2015 at 09:30 AM",20.05.2015,June 2015
University Village Manager,0601499,Housing & Student Living,0,Filled,"June 16, 2016 at 02:06 PM",18,8,Available upon request,.70,,"May 13, 2015 at 02:53 PM",22.06.2016,July 2016
Building Custodian (M - F 3:30am - 12:00pm),0601500,Custodial Services,0,Filled,"June 17, 2015 at 09:20 AM",23,2,General information available to applicants.,1.0,Yes,"May 14, 2015 at 04:31 PM",20.05.2015,June 2015
Senior Software Engineer,0601501,Information Technology,0,Filled,"June 30, 2015 at 01:33 PM",10,5,Available upon applicant inquiry,1,No,"May 15, 2015 at 02:35 PM",10.06.2015,
Pathway Support Center Coordinator,0601506,Pathway,0,Filled,"July 14, 2015 at 08:38 AM",64,10,General information available to applicants.,1.0,,"May 21, 2015 at 02:16 PM",18.06.2015,July or August 2015
Curriculum Designer (2 Positions),0601505,Curriculum Development,0,Filled,"July 20, 2015 at 10:08 AM",30,9,General information available to applicants.,1,No,"June 02, 2015 at 01:39 PM",24.06.2015,August 2015
Academic Advisor (7 openings; Part-time; Remote),0601510,Academic Discovery Center,0,Filled,"November 13, 2017 at 01:01 PM",37,15,Available to applicants upon request,.5,Yes,"June 05, 2015 at 09:17 AM",20.06.2015,July 2015
Groundskeeper,0601512,Grounds,0,Filled,"July 07, 2015 at 12:09 PM",18,3,Available upon request,1,,"June 08, 2015 at 03:16 PM",23.06.2015,July 2015
Video Producer/Project Coordinator ,0601516,A/V Production Services,0,Closed,"July 09, 2015 at 12:00 AM",12,2,Available Upon Request ,1,Yes,"June 17, 2015 at 10:42 AM",08.07.2015,July 2015
Mathematics Visiting Faculty - Anticipated for Winter 2016,0601517,Mathematics,0,Filled,"May 27, 2016 at 08:28 AM",1,1,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"June 19, 2015 at 02:54 PM",17.09.2015,1/2/2016
Outdoor Learning Center Fall Staff,0601521,Outdoor Learning Center,21,Closed,"July 11, 2015 at 12:00 AM",21,16,,1,No,"June 22, 2015 at 10:54 AM",10.07.2015,09/04/2015
University Village Assistant Manager,0601520,Housing & Student Living,0,Closed,"July 10, 2015 at 12:00 PM",21,10,,.65,Yes,"June 23, 2015 at 01:20 PM",08.07.2015,July 2015
Financial Aid Advisor - Full-time Temporary,0601519,Student Financial Aid ,0,Closed,"June 26, 2015 at 03:23 PM",5,2,,1,,"June 23, 2015 at 04:03 PM",06.07.2015,7/16/2015
Financial Aid Advisor (Full-time Temporary Position),0601522,Student Financial Aid ,0,Filled,"September 01, 2015 at 08:13 AM",32,5,Available to applicants.,1,,"June 26, 2015 at 03:38 PM",11.07.2015,August 2015
Software Engineer,0601523,Information Technology,0,Filled,"August 25, 2015 at 08:42 AM",6,0,General information available to applicants.,1.0,,"July 01, 2015 at 01:40 PM",14.08.2015,August 2015
Art (Graphic Design) Visiting Faculty - Anticipated for Fall 2016,0601524,Art,0,Closed,"September 27, 2015 at 03:10 PM",4,0,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"July 08, 2015 at 03:33 PM",26.09.2015,"August 24, 2016"
Art (Sculpture) Full-time Faculty - Anticipated for Fall 2016,0601525,Art,0,Filled,"March 17, 2016 at 09:56 AM",4,1,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"July 08, 2015 at 03:56 PM",26.09.2015,"August 24, 2016"
Applied Plant Science Full-time Faculty - Anticipated for Fall 2016,0601526,Applied Plant Science,0,Filled,"May 26, 2016 at 04:18 PM",6,0,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"July 08, 2015 at 04:29 PM",05.09.2015,"August 24, 2016"
Design and Construction Management Full-time Faculty - Anticipated for Fall 2016,0601527,Design and Construction Management,0,Filled,"May 26, 2016 at 04:47 PM",21,5,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"July 09, 2015 at 08:15 AM",05.09.2015,"August 24, 2016"
Healthcare Administration Full-time Faculty - Anticipated for Fall 2016,0601528,Human Performance & Recreation,0,Filled,"May 26, 2016 at 04:55 PM",13,1,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"July 09, 2015 at 08:35 AM",05.09.2015,"August 24, 2016"
Business Management (Business Writing & Social Media) Full-time Faculty - Anticipated for Fall 2016,0601529,Management,0,Filled,"May 26, 2016 at 04:28 PM",11,5,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"July 09, 2015 at 09:04 AM",12.09.2015,"August 24, 2016"
Communication Full-time Faculty (2 positions)- Anticipated for Fall 2016,0601530,Communication,0,Filled,"May 26, 2016 at 04:40 PM",27,2,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"July 09, 2015 at 09:34 AM",07.11.2015,"August 24, 2016"
Home and Family Full-time Faculty - Anticipated for Fall 2016,0601531,Home & Family,0,Filled,"May 26, 2016 at 04:56 PM",12,2,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"July 09, 2015 at 10:12 AM",19.09.2015,"August 24, 2016"
Teacher Education Full-time Faculty - Anticipated for Fall 2016,0601532,Teacher Education,0,Filled,"May 27, 2016 at 08:44 AM",29,8,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"July 09, 2015 at 10:31 AM",05.09.2015,"August 24, 2016"
Mathematics Full-time Faculty - Anticipated for Fall 2016,0601535,Mathematics,0,Filled,"May 27, 2016 at 08:27 AM",10,3,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"July 09, 2015 at 11:03 AM",05.09.2015,"August 24, 2016"
Automotive Technology Full-time Faculty - Anticipated for Fall 2016,0601570,Automotive Technology,0,Filled,"May 27, 2016 at 08:29 AM",9,2,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"July 10, 2015 at 12:50 PM",14.11.2015,"August 24, 2016"
Media Relations & Communications Manager,0601539,University Relations,0,Filled,"September 22, 2015 at 12:44 PM",17,3,General information available to applicants.,1.0,,"July 14, 2015 at 12:39 PM",08.08.2015,September 2015
HVAC Facilities Technician,0601537,HVAC Shop,0,Filled,"August 12, 2015 at 10:03 AM",3,1,General information available to applicants.,.75,No,"July 14, 2015 at 04:37 PM",01.08.2015,August 2015
Pharmacy Technician,0601541,Student Health Center,0,Filled,"August 24, 2015 at 08:54 AM",3,3,Available to applicant inquiry,1.0,No,"July 16, 2015 at 10:10 AM",15.08.2015,September 2015
Building Custodian (M - F 3:30am - 10:00am),0601540,Custodial Services,0,Closed,"July 26, 2015 at 12:00 AM",8,0,General information available to applicants.,.75,Yes,"July 16, 2015 at 10:53 AM",25.07.2015,ASAP
Animal and Food Science Full-time Faculty - Anticipated for Fall 2016,0601571,Animal & Food Sciences,0,Filled,"May 27, 2016 at 09:47 AM",3,1,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"July 30, 2015 at 09:07 AM",14.11.2015,8/24/2016
Psychology Visiting Faculty - Anticipated for Fall 2016,0601544,Psychology,0,Filled,"May 27, 2016 at 08:42 AM",2,0,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"July 30, 2015 at 01:53 PM",26.09.2015,8/24/2016
Office Assistant,0601546,Pathway,0,Filled,"September 10, 2015 at 11:24 AM",35,7,Available upon request,.5,,"July 30, 2015 at 02:31 PM",13.08.2015,
Business Management & Organizational Communication and Leadership Full-time Faculty - Anticipated for Fall 2016,0601545,Management,0,Filled,"May 26, 2016 at 04:34 PM",33,4,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"July 30, 2015 at 02:41 PM",05.09.2015,8/24/2016
Business Management Full-time Faculty - Anticipated for Fall 2016,0601572,Management,0,Filled,"May 26, 2016 at 04:23 PM",25,5,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"July 30, 2015 at 02:58 PM",14.11.2015,8/24/2016
Business Management Finance Full-time Faculty - Anticipated for Fall 2016,0601573,Management,0,Filled,"May 26, 2016 at 04:24 PM",19,4,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"July 30, 2015 at 03:08 PM",14.11.2015,8/24/2016
Music Full-time Faculty - Anticipated for Fall 2016,0601549,Music,0,Filled,"May 27, 2016 at 08:31 AM",11,4,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"August 04, 2015 at 12:00 PM",01.10.2015,8/24/2016
Admissions Specialist ,0601548,Admissions,0,Filled,"September 16, 2015 at 09:46 AM",54,11,General information available to applicants.,1.0,,"August 04, 2015 at 12:25 PM",20.08.2015,October 2015
Computer Information Technology Full-time Faculty - Anticipated for Fall 2016,0601550,Computer Information Technology,0,Filled,"May 26, 2016 at 04:37 PM",9,1,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"August 05, 2015 at 10:33 AM",12.09.2015,8/24/2016
English Full-time Faculty - Anticipated for Fall 2016,0601551,English,0,Filled,"May 26, 2016 at 04:48 PM",12,5,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"August 06, 2015 at 08:50 AM",05.09.2015,8/24/2016
Music / Piano Visiting Faculty - Anticipated for Fall 2016,0601553,Music,0,Filled,"May 27, 2016 at 08:32 AM",9,2,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"August 11, 2015 at 12:31 PM",01.11.2015,8/24/2016
Music (Core + Voice) Visiting Faculty - Anticipated for Fall 2016,0601555,Music,1,Closed,"October 04, 2015 at 12:00 AM",7,1,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"August 11, 2015 at 12:50 PM",03.10.2015,8/24/2016
Sociology Visiting Faculty - Anticipated for Fall 2016,0601556,Sociology and Social Work,0,Filled,"May 27, 2016 at 08:43 AM",3,1,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"August 17, 2015 at 10:27 AM",17.10.2015,8/24/2016
Academic Advisor (2 openings; Part-time; Remote),0601557,Academic Discovery Center,0,Filled,"September 11, 2015 at 09:47 AM",21,5,Available to applicants upon request,.5,,"August 17, 2015 at 04:23 PM",24.08.2015,September 2015
Mathematics Visiting Faculty (3 positions) - Anticipated for Fall 2016,0601558,Mathematics,0,Filled,"May 26, 2016 at 05:00 PM",9,0,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"August 19, 2015 at 03:33 PM",21.11.2015,8/24/2016
Office Assistant - Instructional Development,0601559,Instructional Development,0,Filled,"October 02, 2015 at 03:08 PM",49,15,Available to applicant inquiry,.75,,"August 20, 2015 at 09:10 AM",17.09.2015,October 2015
"Dispatcher (Full-Time, 30 hours per week)",0601561,University Security & Safety,0,Filled,"October 19, 2015 at 02:18 PM",34,13,General information available to applicants.,0.75,,"August 25, 2015 at 03:35 PM",21.09.2015,October 2015 (flexible)
Housing Manager- Centre Square,0601568,Housing & Student Living,0,Filled,"October 14, 2015 at 09:52 AM",29,11,General information available to applicants.,.70,,"September 02, 2015 at 02:26 PM",30.09.2015,November 2015 (flexible)
Business Management Visiting Faculty - Anticipated for Spring 2016,0601574,Management,0,Filled,"May 26, 2016 at 04:27 PM",8,0,Will be discussed during the formal interview process and is based on your education and experience.,,Yes,"September 15, 2015 at 10:45 AM",14.11.2015,4/4/2016
Computer Science and Electrical Engineering Full-time Faculty - Anticipated for Fall 2016,0601575,Computer Science & Elec Engineering,0,Filled,"May 26, 2016 at 04:43 PM",8,2,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"September 16, 2015 at 08:47 AM",14.11.2015,8/24/2016
Mathematics Full-time Faculty (2 positions) - Anticipated for Fall 2016,0601576,Mathematics,0,Filled,"May 26, 2016 at 04:58 PM",22,4,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"September 16, 2015 at 11:37 AM",14.11.2015,8/24/2016
Exercise Physiology Visiting Faculty - Anticipated for Fall 2016,0601581,Human Performance & Recreation,0,Filled,"May 26, 2016 at 04:57 PM",5,1,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"September 21, 2015 at 04:32 PM",14.11.2015,8/24/2016
CSEE Full-time Faculty - Anticipated for Fall 2016,0601584,Computer Science & Elec Engineering,0,Filled,"May 26, 2016 at 04:45 PM",4,3,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"September 28, 2015 at 04:36 PM",28.11.2015,"August 24, 2016"
Student Support Coordinator,0601587,Student Support,0,Closed,"March 29, 2016 at 12:00 PM",49,10,General information available upon applicant request.,1,,"September 30, 2015 at 04:15 PM",19.10.2015,November 2015
Chemistry Visiting Faculty - Anticipated for Fall 2016,0601595,Chemistry,0,Filled,"May 26, 2016 at 04:35 PM",4,0,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"October 06, 2015 at 03:24 PM",05.12.2015,8/24/2016
